Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,149.63,-99.4025,90,top
C2,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.17,-99.5175,90,top
C3,33nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.79,-91.49,0,top
C4,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.805,-81.43,270,top
C5,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.69,-92.3525,270,top
C6,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,119.15,-92.4675,270,top
C7,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.265,-81.43,90,top
C8,68nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.424,-77.366,270,top
C9,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.265,-77.393,270,top
C10,18pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,161.06,-81.33,0,top
C11,470nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.55,-90.22,0,top
C12,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,132.993,-111.91,180,top
C13,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,126.77,-106.73,0,top
D1,SM4007,D_MELF,131.85,-102.92,180,top
D2,CM1213A-01SO,SOT-23,159.79,-87.78,270,top
D3,CM1213A-01SO,SOT-23,144.55,-94.03,90,top
D4,SM4007,D_MELF,126.77,-92.76,180,top
F1,Fuse_1A,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,133.12,-106.73,0,top
FB1,1kΩ @ 100MHz,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,120.42,-106.73,180,top
FM Antenna,J3,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,161.06,-75.965,90,top
GPS,J6,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,152.17,-71.17,270,top
L1,470nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,161.06,-83.87,180,top
Q1,S8050,SOT-23_Handsoldering,144.55,-97.84,0,top
Q2,S8050,SOT-23_Handsoldering,134.39,-97.84,0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.55,-87.68,180,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.63,-95.3,180,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.47,-97.84,270,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,129.31,-97.84,90,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.44,-95.3,0,top
R6,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,154.583,-77.393,270,top
Reset ESP,SW1,SW_SPST_B3SL-1002P,142.01,-104.19,180,top
U1,Si4734-D60-GU,SSOP-24_3.9x8.7mm_P0.635mm,152.17,-90.22,90,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,138.2,-74.98,90,top
U3,LD1117S33TR_SOT223,SOT-223-3_TabPin2,122.96,-100.38,180,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,151.535,-84.859,180,top
sel. 3V3 ,SW2,SW_SPDT_CK-JS102011SAQN,112.8,-99.11,270,top
